# Generated from libretro-database's Sony - PlayStation DAT.
# Source: https://github.com/libretro/libretro-database
# License: CC-BY-SA-4.0
dk10794	Classic Card Games (Russia)
nameversaillescomplottoallacortedelresole	Versailles - Complotto alla Corte del Re Sole (Italy)
nameversaillesverschwoerungamhof	Versailles - Verschwoerung am Hof (Germany)
nameversallescomplotenlacortedelreysol	Versalles - Complot en la Corte del Rey Sol (Spain)
namevibribbon	Vib-Ribbon (Europe) (En,Fr,De,Es,It)
namevictoryboxing	Victory Boxing (Japan)
namevictoryboxing2	Victory Boxing 2 (Europe)
namevictoryboxingchallenger	Victory Boxing Challenger (Europe) (En,Fr,De,Es)
namevictoryboxingchampionedition	Victory Boxing Champion Edition (Europe)
namevictoryboxingcontender	Victory Boxing Contender (Europe)
namevictoryspike	Victory Spike (Japan)
namevictoryzone	Victory Zone (Japan)
namevictoryzone2	Victory Zone 2 (Japan)
namevideoidudemo06e	Video IDU Demo 06E (Europe)
namevideoidudemo1f	Video IDU Demo 1F (France)
namevideoidutestv11	Video IDU Test v1.1 (Europe)
nameviewpoint	Viewpoint (Europe)
namevigilante8	Vigilante 8 (Europe)
namevigilante82ndbattle	Vigilante 8 - 2nd Battle (Japan)
namevigilante82ndoffense	Vigilante 8 - 2nd Offense (Europe)
namevildublimillionaer	Vil du bli millionaer (Norway)
namevip	V.I.P. (Europe) (En,Fr,De,Es,It)
namevipdemo	VIP Demo (Europe, Australia)
nameviper	Viper (Europe) (En,Fr,De,Es,It)
namevirtualbowlingtenpinalleynokiseki	Virtual Bowling - Ten Pin Alley no Kiseki (Japan)
namevirtualgallopkishudou	Virtual Gallop - Kishudou (Japan)
namevirtualgolf	Virtual Golf (Europe) (En,Fr,De)
namevirtualhiryuunoken	Virtual Hiryuu no Ken (Japan)
namevirtualkasparov	Virtual Kasparov (Europe) (En,Fr,De,Es,It,Nl)
namevirtualkyoutei2000	Virtual Kyoutei 2000 (Japan)
namevirtualkyoutei21	Virtual Kyoutei 21 (Japan)
namevirtualkyoutei98	Virtual Kyoutei '98 (Japan)
namevirtualkyoutei99	Virtual Kyoutei '99 (Japan)
namevirtualpool	Virtual Pool (Europe)
namevirtualpool3	Virtual Pool 3 (USA)
namevirtualprowrestling	Virtual Pro Wrestling (Japan)
namevirtuapachislot7kitadenshiolympia	Virtua Pachi-Slot 7 - Kita Denshi, Olympia (Japan)
namevirtuapachislotex	Virtua Pachi-Slot EX (Japan)
namevirtuapachislotolympiaspecial	Virtua Pachi-Slot - Olympia Special (Japan)
namevirtuapachislotvi	Virtua Pachi-Slot VI (Japan)
namevirtuapachislotvyamasakitadenshiolympia	Virtua Pachi-Slot V - Yamasa, Kita Denshi, Olympia (Japan)
namevirusitisaware	Virus - It Is Aware (Europe) (En,Fr,De,Es,It)
namevirusthebattlefield	Virus - The Battle Field (Japan)
namevisiteursleslareliquedesainterolande	Visiteurs, Les - La Relique de Sainte Rolande (France)
namevivafootball	Viva Football (Europe) (En,Fr,De,Es,It,Pt)
namevivasoccer	Viva Soccer (USA) (En,Fr,De,Es,It,Pt)
namevivilamagiadidisneysuplaystation	Vivi la Magia di Disney su PlayStation (Italy)
namevjumpsoukan9shuunenkinenspecialdisc	V-Jump Soukan 9-shuunen Kinen Special Disc!! (Japan)
namevmxracing	VMX Racing (Europe)
namevoicefantasiaushinawaretavoicepower	Voice Fantasia - Ushinawareta Voice Power (Japan)
namevoiceidolcollectionpoolbarstory	Voice Idol Collection - Pool Bar Story (Japan) (Disc 1)
namevoiceparadiceexcella	Voice Paradice Excella (Japan) (Disc 1)
namevolfoss	Volfoss (Japan)
namevrally97championshipedition	V-Rally - 97 Championship Edition (Europe) (En,Fr,De)
namevrallychampionshipedition	V-Rally - Championship Edition (Japan)
namevrallychampionshipedition2	V-Rally - Championship Edition 2 (Europe) (En,Fr,De)
namevrbaseball97	VR Baseball '97 (Europe)
namevrbaseball99	VR Baseball 99 (Europe)
namevrgolf97	VR Golf '97 (USA) (En,Fr)
namevrsoccer96	VR Soccer '96 (USA, Canada)
namevrsportspowerboatracing	VR Sports Powerboat Racing (Europe) (En,Fr,De,Es,It)
namevs	Vs. (Europe)
namevtennis	V-Tennis (Europe)
namevtennis2	V-Tennis 2 (Japan)
namewackyraces	Wacky Races (Europe) (En,Fr,De,Es,It,Nl)
namewagamamafairymirumodeponmirumonomahougakkoumonogatari	Wagamama Fairy Mirumo de Pon! Mirumo no Mahou Gakkou Monogatari (Japan)
namewaiwai3ninuchimahjong	Wai Wai 3-nin Uchi Mahjong (Japan)
namewaiwaibowling	Wai Wai Bowling (Japan)
namewaiwaijansou	Wai Wai Jansou (Japan)
namewaiwaikart	Wai Wai Kart (Japan) (Major Wave)
namewaiwaikusayakyuu	Wai Wai Kusa Yakyuu (Japan)
namewaiwaitrumptaisen	Wai Wai Trump Taisen (Japan)
namewakupuyodungeonketteiban	Waku Puyo Dungeon - Ketteiban (Japan)
namewakuseikoukitailittlecats	Wakusei Koukitai - Little Cats (Japan)
namewakuwakubowling	Waku Waku Bowling (Japan)
namewakuwakuderby	Waku Waku Derby (Japan)
namewakuwakuvolley	Waku Waku Volley (Japan)
namewaltdisneyellibrodelaselvamueveteconritmo	Walt Disney El Libro de la Selva - Muevete con Ritmo (Spain)
namewaltdisneyillibrodellagiunglailballodellagiungla	Walt Disney Il Libro della Giungla - Il Ballo della Giungla (Italy)
namewaltdisneyksiegadzungligrooveparty	Walt Disney Ksiega Dzungli - Groove Party (Poland)
namewaltdisneylelivredelajunglegrooveparty	Walt Disney Le Livre de la Jungle - Groove Party (France)
namewaltdisneynviidakkokirjasvengiseikkailu	Walt Disneyn Viidakkokirja - Svengiseikkailu (Finland)
namewaltdisneysdasdschungelbuchgrooveparty	Walt Disneys Das Dschungelbuch - Groove Party (Germany)
namewaltdisneysdjungelbokengrooveparty	Walt Disneys Djungelboken - Groove Party (Sweden)
namewaltdisneysjungelbokengrooveparty	Walt Disneys Jungelboken - Groove Party (Norway)
namewaltdisneysjungleboekgrooveparty	Walt Disney's Jungle Boek - Groove Party (Netherlands)
namewaltdisneysjunglebogengrooveparty	Walt Disneys Junglebogen - Groove Party (Denmark)
namewaltdisneysthejunglebookgrooveparty	Walt Disney's The Jungle Book - Groove Party (Europe)
namewaltdisneysthejunglebookrhythmngroove	Walt Disney's The Jungle Book - Rhythm n' Groove (USA)
namewaltdisneyworldquestmagicalracingtour	Walt Disney World Quest - Magical Racing Tour (Europe) (En,Fr,De,Es,It,Nl,Sv,No,Da)
namewandervehiclesdoggybonedaisakusen	Wander Vehicles - Doggy Bone Daisakusen (Japan)
namewangantrial	Wangan Trial (Japan) (Disc 1)
namewanted	Wanted (Europe)
namewarcraftiithedarksaga	WarCraft II - The Dark Saga (Europe) (En,Fr,De,Es,It)
namewareramitsurintankentai	Warera Mitsurin Tankentai!! (Japan)
namewares1092souheiden	Wares 1092 - Souheiden (Japan)
namewargamesdefcon1	WarGames - Defcon 1 (Europe) (En,Fr,De)
namewargods	War Gods (Europe)
namewarhammerdarkomen	Warhammer - Dark Omen (Europe) (En,Fr,De)
namewarhammershadowofthehornedrat	Warhammer - Shadow of the Horned Rat (Europe) (En,Fr,De)
namewarhawktheredmercurymissions	Warhawk - The Red Mercury Missions (Europe)
namewarmup	Warm Up! (Europe) (En,Fr,De,Es,It,Pt)
namewarpathjurassicpark	Warpath - Jurassic Park (Europe) (En,Fr,De)
namewarriorsofmightandmagic	Warriors of Might and Magic (Europe) (En,Es,It)
namewarzone2100	Warzone 2100 (Europe) (En,Es,It)
namewatersummer	Water Summer (Japan)
namewaynegretzkys3dhockey98	Wayne Gretzky's 3D Hockey '98 (Europe) (En,Fr,De,Es)
namewcwbackstageassault	WCW Backstage Assault (Europe)
namewcwmayhem	WCW Mayhem (Europe)
namewcwnitro	WCW Nitro (Europe)
namewcwnwothunder	WCW-nWo Thunder (Europe)
namewcwvstheworld	WCW vs. the World (Europe)
nameweakestlinkthe	Weakest Link, The (Europe)
nameweddingpeachdokidokioironaoshi	Wedding Peach - Doki Doki Oironaoshi (Japan)
nameweeklytheplaystationlimitedno1	Weekly the PlayStation Limited No. 1 (Japan)
namewelcomehouse	Welcome House (Japan)
namewelcomehouse2keatonandhisuncle	Welcome House 2 - Keaton and His Uncle (Japan)
nameweltorvestleia	Weltorv Estleia (Japan)
namewerwirdmillionaer	Wer wird Millionaer (Germany)
namewerwirdmillionaer2edition	Wer wird Millionaer - 2. Edition (Germany)
namewerwirdmillionaerdritteedition	Wer wird Millionaer - Dritte Edition (Germany)
namewerwirdmillionaerjunior	Wer wird Millionaer - Junior (Germany)
namewestlifefanomania	Westlife - Fan-O-Mania (Europe)
namewheeloffortune	Wheel of Fortune (USA)
namewheeloffortune2ndedition	Wheel of Fortune - 2nd Edition (USA)
namewhistlefukinukerukaze	Whistle - Fuki Nukeru Kaze (Japan)
namewhitediamond	White Diamond (Japan)
namewhizz	Whizz (Europe)
namewhowantstobeamillionaire	Who Wants to Be a Millionaire (Europe)
namewhowantstobeamillionaire2ndedition	Who Wants to Be a Millionaire - 2nd Edition (Europe)
namewhowantstobeamillionaire3rdedition	Who Wants to Be a Millionaire - 3rd Edition (USA)
namewhowantstobeamillionaireaustralianedition	Who Wants to Be a Millionaire - Australian Edition (Australia)
namewhowantstobeamillionaireirishedition	Who Wants to Be a Millionaire - Irish Edition (Ireland)
namewhowantstobeamillionairejunior	Who Wants to Be a Millionaire - Junior (Europe)
namewild9	Wild 9 (Europe) (En,Fr,De,Es,It)
namewildarms	Wild Arms (Europe)
namewildarms2	Wild Arms 2 (USA) (Disc 1)
namewildarms2ndignition	Wild Arms - 2nd Ignition (Japan) (Demo 1)
namewildboater	Wild Boater (Japan)
namewildrapids	Wild Rapids (Europe)
namewildroid9	Wildroid 9 (Japan)
namewildthornberrystheanimaladventures	Wild Thornberrys, The - Animal Adventures (USA)
namewilliamsarcadesgreatesthits	Williams Arcade's Greatest Hits (Europe)
namewindsurfersparadise	Windsurfers Paradise (Europe) (En,Fr,De)
namewingcommanderiiiheartofthetiger	Wing Commander III - Heart of the Tiger (Europe) (Disc 1)
namewingcommanderivthepriceoffreedom	Wing Commander IV - The Price of Freedom (Europe) (Disc 1)
namewingover	Wing Over (Europe)
namewingover2	Wing Over 2 (Europe)
namewinkythelittlebear	Winky the Little Bear (Europe) (En,Fr,De)
namewinninglure	Winning Lure (Japan)
namewinningpost2	Winning Post 2 (Japan)
namewinningpost2final97	Winning Post 2 - Final '97 (Japan)
namewinningpost2program96	Winning Post 2 - Program '96 (Japan)
namewinningpost3	Winning Post 3 (Japan)
namewinningpost3program98	Winning Post 3 - Program '98 (Japan)
namewinningpost4	Winning Post 4 (Japan)
namewinningpost4program2000	Winning Post 4 - Program 2000 (Japan)
namewinningpostex	Winning Post EX (Japan)
namewinterreleases	Winter Releases (Europe, Australia) (En,Fr,De,Es,It)
namewinterreleases97demo01	Winter Releases - '97 Demo 01 (Europe)
namewinterreleases98	Winter Releases '98 (Europe)
namewip3out	Wip3out (Europe) (En,Fr,De,Es,It)
namewipeout	Wipeout (Europe)
namewipeout2097	Wipeout 2097 (Europe)
namewipeout3	Wipeout 3 (Japan)
namewipeout3specialedition	Wipeout 3 - Special Edition (Europe) (En,Fr,De,Es,It)
namewipeoutxl	Wipeout XL (Japan, Asia)
namewitchofsalzburgthe	Witch of Salzburg, The (Japan)
namewizardrydimguil	Wizardry - Dimguil (Japan)
namewizardryempireiioujonoisan	Wizardry Empire II - Oujo no Isan (Japan)
namewizardryempireinishienooujo	Wizardry Empire - Inishie no Oujo (Japan)
namewizardryllylgamynsaga	Wizardry - Llylgamyn Saga (Japan) (En,Ja)
namewizardrynewageofllylgamyn	Wizardry - New Age of Llylgamyn (Japan) (En,Ja)
namewizardryviiguardianohouju	Wizardry VII - Guardia no Houju (Japan)
namewizardsharmony	Wizard's Harmony (Japan)
namewizardsharmony2	Wizard's Harmony 2 (Japan, Asia)
namewizardsharmonyr	Wizard's Harmony R (Japan)
namewmnationalspieler	WM Nationalspieler (Germany)
namewolffangkuuga2001	Wolf Fang - Kuuga 2001 (Japan)
namewolkenkratzershinpannotou	Wolkenkratzer - Shinpan no Tou (Japan)
namewondertrek	Wonder Trek (Japan)
namewoodywoodpeckernogogoracing	Woody Woodpecker no Go! Go! Racing (Japan)
namewoodywoodpeckerracing	Woody Woodpecker Racing (Europe) (En,Fr,De,Es,It)
nameworldchampionshipsnooker	World Championship Snooker (Europe) (En,Fr,De)
nameworldcup98	World Cup 98 (Europe) (En,Fr,De,Es,Nl,Sv,Da)
nameworldcup98coppadelmondo	World Cup 98 - Coppa del Mondo (Italy)
nameworldcupgolfinhyattdoradobeach	World Cup Golf - In Hyatt Dorado Beach (Japan)
nameworldcupgolfprofessionaledition	World Cup Golf - Professional Edition (Europe)
nameworlddestructionleaguethundertanks	World Destruction League - Thunder Tanks (Europe) (En,Fr,De,Es,It)
nameworlddestructionleaguewarjetz	World Destruction League - WarJetz (Europe) (En,Fr,De,Es,It)
nameworldgreatesthitsseriesvol1propinballbigraceusa	World Greatest Hits Series Vol. 1 - Pro Pinball - Big Race USA (Japan)
nameworldgreatesthitsseriesvol2pipedreams3d	World Greatest Hits Series Vol. 2 - Pipe Dreams 3D (Japan)
nameworldgreatesthitsseriesvol3speedball2100	World Greatest Hits Series Vol. 3 - Speedball 2100 (Japan)
nameworldgreatesthitsseriesvol4tomclancysrainbowsix	World Greatest Hits Series Vol. 4 - Tom Clancy's Rainbow Six (Japan)
nameworldgreatesthitsseriesvol5tycorcassaultwithabattery	World Greatest Hits Series Vol. 5 - Tyco R-C - Assault with a Battery (Japan)
nameworldleaguebasketball	World League Basketball (Europe)
nameworldleaguesoccer	World League Soccer (Japan)
nameworldleaguesoccer98	World League Soccer '98 (Europe) (En,Es,It)
nameworldneverisland	World Never Island (Japan)
nameworldneverland2thewakticrepublicofpluto	World Neverland 2 - The Waktic Republic of Pluto (Japan)
nameworldneverlandtheolerudkingdomstories	World Neverland - The Olerud Kingdom Stories (Japan)
nameworldofdragonwarriortornekothelasthope	World of Dragon Warrior - Torneko - The Last Hope (USA)
nameworldofphilosomathe	World of Philosoma, The (Japan)
nameworldprotennis98	World Pro Tennis '98 (Japan)
nameworldsoccerjikkyouwinningeleven2000u23medalenochousen	World Soccer Jikkyou Winning Eleven 2000 - U-23 Medal e no Chousen (Japan)
nameworldsoccerjikkyouwinningeleven3finalver	World Soccer Jikkyou Winning Eleven 3 - Final Ver. (Japan)
nameworldsoccerjikkyouwinningeleven3worldcupfrance98	World Soccer Jikkyou Winning Eleven 3 - World Cup France '98 (Japan)
nameworldsoccerjikkyouwinningeleven4	World Soccer Jikkyou Winning Eleven 4 (Japan)
nameworldsoccerwinningeleven	World Soccer Winning Eleven (Japan)
nameworldsoccerwinningeleven2002	World Soccer Winning Eleven 2002 (Japan)
nameworldsoccerwinningeleven97	World Soccer Winning Eleven '97 (Japan)
nameworldsscariestpolicechases	World's Scariest Police Chases (Europe)
nameworldstadium2	World Stadium 2 (Japan)
nameworldstadium3	World Stadium 3 (Japan)
nameworldstadium4	World Stadium 4 (Japan)
nameworldstadium5	World Stadium 5 (Japan)
nameworldstadiumex	World Stadium EX (Japan)
nameworldtennisstars	World Tennis Stars (Europe)
nameworldtourconductorsekaiyumekikou	World Tour Conductor - Sekai Yume Kikou (Japan)
nameworms	Worms (Europe)
namewormsarmageddon	Worms Armageddon (Europe)
namewormspinball	Worms Pinball (Europe) (En,Fr,De,Es,It)
namewormsworldparty	Worms World Party (Europe) (En,Fr,De,Es,It,Nl,Sv,Da)
namewrcfiaworldrallychampionshiparcade	WRC - FIA World Rally Championship Arcade (Europe) (En,Fr,De,Es,It,Nl,Pt,Sv,No,Da,Fi)
namewreckincrewdrivedangerously	Wreckin Crew - Drive Dangerously (Europe) (En,Fr,De,Es,It)
namewriteaway1	Write Away 1 (USA)
namewriteaway10	Write Away 10 (USA)
namewriteaway2	Write Away 2 (USA)
namewriteaway3	Write Away 3 (USA)
namewriteaway4	Write Away 4 (USA)
namewriteaway5	Write Away 5 (USA)
namewriteaway6	Write Away 6 (USA)
namewriteaway7	Write Away 7 (USA)
namewriteaway8	Write Away 8 (USA)
namewriteaway9	Write Away 9 (USA)
namewtcworldtouringcarchampionship	WTC - World Touring Car Championship (Japan)
namewutangshaolinstyle	Wu-Tang - Shaolin Style (France)
namewutangtastethepain	Wu-Tang - Taste the Pain (Europe)
namewwfattitude	WWF Attitude (Europe)
namewwfinyourhouse	WWF In Your House (Europe)
namewwfsmackdown	WWF SmackDown! (Europe)
namewwfsmackdown2knowyourrole	WWF SmackDown! 2 - Know Your Role (Europe)
namewwfwarzone	WWF War Zone (Europe)
namewwfwrestlemaniathearcadegame	WWF WrestleMania - The Arcade Game (Europe)
namex2norelief	X2 - No Relief (Europe)
namexbladezinlineskater	X-Bladez - Inline Skater (Europe)
namexcomenemyunknown	X-COM - Enemy Unknown (Europe) (En,Fr,De,Es,It)
namexcommichinarushinryakusha	X-COM - Michinaru Shinryakusha (Japan)
namexcomterrorfromthedeep	X-COM - Terror from the Deep (Europe) (En,Fr,De,Es,It)
namexcomufodefense	X-COM - UFO Defense (USA)
namexenawarriorprincess	Xena - Warrior Princess (Europe)
namexenocracytheultimatesolarwar	Xenocracy - The Ultimate Solar War (Europe)
namexenogears	Xenogears (Japan) (Disc 1)
namexevious3dg	Xevious 3D-G+ (Europe)
namexfilesthe	X-Files, The (Europe, Australia) (Disc 1)
namexgamesproboarder	X Games Pro Boarder (Europe) (En,Fr,De,Es,It,Sv,No)
namexingentertainmentwinterspecial98premiumdisc	Xing Entertainment Winter Special '98 Premium Disc (Japan)
namexisai	XI [sai] (Asia)
namexisaijumbo	XI [sai] Jumbo (Japan)
namexisaisuperplaycollectionxiwafutatabinageraretaspecialcdrom	XI [sai] Super Play Collection - XI wa Futatabi Nagerareta - Special CD-ROM (Japan)
namexmenchildrenoftheatom	X-Men - Children of the Atom (Europe)
namexmenmutantacademy	X-Men - Mutant Academy (Europe)
namexmenmutantacademy2	X-Men - Mutant Academy 2 (Europe)
namexmenvsstreetfighter	X-Men vs. Street Fighter (Europe)
namexmenvsstreetfighterexedition	X-Men vs. Street Fighter - EX Edition (Japan)
namexracing	X.Racing (Japan)
namexsairboatracing	XS Airboat Racing (Europe) (En,Fr,De,Es,It)
namexsjuniorleaguedodgeball	XS Junior League Dodgeball (USA)
namexsjuniorleaguefootball	XS Junior League Football (USA)
namexsjuniorleaguesoccer	XS Junior League Soccer (Europe) (En,Fr,De,Es,It)
namexsmoto	XS Moto (Europe) (En,Fr,De,Es,It)
namextremeroller	X'treme Roller (Europe) (En,Fr,De,Es,It,Pt)
nameyagamihirokinogametastemunasawaginoyokan	Yagami Hiroki no Game-Taste - Munasawagi no Yokan (Japan)
nameyakinikuactiongameyakinikubugyou	Yakiniku Action Game - Yakiniku Bugyou (Japan)
nameyakitorimusumesugoudehanjouki	Yakitori Musume - Sugoude Hanjouki (Japan)
nameyakutsuunoroinogame	Yaku Tsuu - Noroi no Game (Japan)
nameyakuyuujoudangi	Yaku - Yuujou Dangi (Japan)
nameyamagatadigitalmuseum	Yamagata Digital Museum (Japan) (Disc 1) (Spring)
nameyamasadigiguidefaust	Yamasa Digi Guide - Faust (Japan)
nameyamasadigiguidehyperrush	Yamasa Digi Guide - Hyper Rush (Japan)
nameyamasadigiguidem771	Yamasa Digi Guide - M771 (Japan)
nameyamasadigiguidenewpulsarr	Yamasa Digi Guide - New Pulsar R (Japan)
nameyamasadigiguideumekagetsur	Yamasa Digi Guide - Umekagetsu R (Japan)
nameyamasadigiselection	Yamasa Digi Selection (Japan)
nameyamasadigiselection2	Yamasa Digi Selection 2 (Japan)
nameyamasadigiworldtetramaster	Yamasa Digi World - Tetra Master (Japan)
nameyamifukunatsuteitomonogatarifutatabi	Yamifuku Natsu - Teito Monogatari Futatabi (Japan)
nameyaoijunichigokuhiprojectufoooe	Yaoi Jun'ichi Gokuhi Project - UFO o Oe!! (Japan)
nameyarudoraseriesvol1doublecast	Yarudora Series Vol. 1 - Double Cast (Japan) (Demo 1)
nameyarudoraseriesvol2kisetsuodakishimete	Yarudora Series Vol. 2 - Kisetsu o Dakishimete (Japan) (Disc 1)
nameyarudoraseriesvol3sampaguita	Yarudora Series Vol. 3 - Sampaguita (Japan) (Disc 1)
nameyarudoraseriesvol4yukiwarinohana	Yarudora Series Vol. 4 - Yukiwari no Hana (Japan) (Disc 1)
nameyehyehtennis	Yeh Yeh Tennis (Europe) (En,Fr,De)
nameyellowbrickroad	Yellow Brick Road (Japan)
nameyellowmonkeythetrancemissionvjremix	Yellow Monkey, The - Trancemission VJ Remix (Japan)
nameyetisportsdeluxe	Yetisports Deluxe (Europe) (En,Fr,De,Es,It)
nameyetisportsworldtour	Yetisports World Tour (Europe) (En,Fr,De,Es,It)
nameyoikotoyoiotonanoplaystationtaikenbanvol1	Yoi Ko to Yoi Otona no. PlayStation Taikenban Vol. 1 (Japan)
nameyoikotoyoiotonanoplaystationtaikenbanvol2	Yoi Ko to Yoi Otona no. PlayStation Taikenban Vol. 2 (Japan)
nameyoshimotomahjongclubdeluxe	Yoshimoto Mahjong Club Deluxe (Japan)
nameyoshimotomuchiccodaikessenminaminouminogorongotou	Yoshimoto Muchicco Dai-kessen - Minami no Umi no Gorongo-tou (Japan)
nameyoshimurashougi	Yoshimura Shougi (Japan)
nameyouchiengaidenkareinarucasinoclubdoubledraw	Youchien Gaiden - Karei naru Casino Club - Double Draw (Japan)
nameyoudontknowjack	You Don't Know Jack (Germany)
nameyoudontknowjackmock2	You Don't Know Jack - Mock 2 (USA)
nameyoukaihanaasobi	Youkai Hana Asobi (Japan)
nameyoyospuzzlepark	YoYo's Puzzle Park (Europe)
nameyugiohforbiddenmemories	Yu-Gi-Oh! Forbidden Memories (Europe)
nameyugiohmonstercapsulebreedbattle	Yu-Gi-Oh! Monster Capsule Breed & Battle (Japan)
nameyugiohshinduelmonstersfuuinsareshikioku	Yu-Gi-Oh! Shin Duel Monsters - Fuuin Sareshi Kioku (Japan)
nameyukinkoburning	Yukinko Burning (Japan)
nameyumeiroiro	Yume Iroiro (Japan)
nameyumenotsubasa	Yume no Tsubasa (Japan)
nameyushaheavensgate	Yusha - Heaven's Gate (Europe)
nameyutonaeiyuusenkitearringsaga	Yutona Eiyuu Senki - TearRingSaga (Japan)
nameyuugengaishachikyuuboueitai	Yuugen Gaisha Chikyuu Boueitai (Japan)
nameyuukyuugensoukyoku	Yuukyuu Gensoukyoku (Japan)
nameyuukyuugensoukyoku2ndalbum	Yuukyuu Gensoukyoku 2nd Album (Japan)
nameyuukyuugensoukyoku3perpetualblue	Yuukyuu Gensoukyoku 3 - Perpetual Blue (Japan)
nameyuukyuugensoukyoku3perpetualbluevisualcollection	Yuukyuu Gensoukyoku 3 - Perpetual Blue - Visual Collection (Japan)
nameyuukyuugensoukyokuensemble	Yuukyuu Gensoukyoku Ensemble (Japan)
nameyuukyuugensoukyokuensemble2	Yuukyuu Gensoukyoku Ensemble 2 (Japan)
nameyuukyuukumikyokuallstarproject	Yuukyuu Kumikyoku - All Star Project (Japan)
nameyuukyuunoedentheeternaleden	Yuukyuu no Eden - The Eternal Eden (Japan)
nameyuushaougaogaigarblockadednumbers	Yuusha-ou GaoGaiGar - Blockaded Numbers (Japan)
nameyuuwakuofficerenaika	Yuuwaku Office Ren'aika (Japan)
nameyuuyamidooritankentai	Yuuyami Doori Tankentai (Japan)
namez	Z (Europe)
namezanacxzanac	Zanac x Zanac (Japan)
namezapsnowboardingtrix	Zap! Snowboarding Trix (Japan) (Fukyuuban 1500)
namezapsnowboardingtrix98	Zap! Snowboarding Trix '98 (Japan)
namezeiramzone	Zeiramzone (Japan)
namezeitgeist	Zeitgeist (Japan)
namezennihongtsenshukenkai	Zen Nihon GT Senshuken Kai (Japan)
namezennihongtsenshukenmaxrev	Zen Nihon GT Senshuken Max Rev. (Japan) (Disc 1)
namezennihonjoshiprowrestlingjooudensetsuyumenotaikousen	Zen Nihon Joshi Pro Wrestling - Joou Densetsu - Yume no Taikousen (Japan)
namezennihonprowresoujanotamashii	Zen Nihon Pro Wres - Ouja no Tamashii (Japan)
namezensuperrobottaisendenshidaihyakka	Zen Super Robot Taisen Denshi Daihyakka (Japan) (Disc 1)
namezerachanpuzzlepitattopair	Zera-chan Puzzle - Pitatto Pair (Japan)
namezero4champdoozyj	Zero4 Champ DooZy-J (Japan)
namezerodivide	Zero Divide (Europe)
namezerodivide2thesecretwish	Zero Divide 2 - The Secret Wish (Europe)
namezeropilotginyokunosenshi	Zero Pilot - Gin'yoku no Senshi (Japan)
namezeuscarnageheartsecond	Zeus - Carnage Heart Second (Japan)
namezeusiicarnageheart	Zeus II - Carnage Heart (Japan)
namezigzagball	ZigZagBall (Japan)
namezilloll	Zill O'll (Japan)
namezipangujimaunmeiwasaikorogakimeru	Zipangu-jima - Unmei wa Saikoro ga Kimeru! (Japan)
namezoboomafooleapinlemurs	Zoboomafoo - Leapin' Lemurs! (USA)
namezoids2herickyouwakokuvsguylosteikoku	Zoids 2 - Heric Kyouwakoku vs. Guylos Teikoku (Japan)
namezoidsbattlecardgameseihoutairikusenki	Zoids - Battle Card Game - Seihou Tairiku Senki (Japan)
namezoidsteikokuvskyouwakokumekaseitainoidenshi	Zoids - Teikoku vs. Kyouwakoku - Meka Seitai no Idenshi (Japan)
namezokugussunoyoyo	Zoku Gussun Oyoyo (Japan)
namezokuhatsukoimonogatarishuugakuryokou	Zoku Hatsukoi Monogatari - Shuugaku Ryokou (Japan) (Disc 1)
namezokumikagurashoujotanteidankanketsuhen	Zoku Mikagura Shoujo Tanteidan - Kanketsu-hen (Japan) (Disc 1)
namezoop	Zoop (Japan)
namezoopamericaslargestkilleroftime	Zoop - America's Largest Killer of Time! (USA)
namezorkithegreatundergroundempire	Zork I - The Great Underground Empire (Japan)
namezuttoisshowithmeeverytime	Zutto Issho - With Me Everytime... (Japan)
namezxedlegendofplasmatlite	ZXE-D - Legend of Plasmatlite (Japan)
p0	Alone in the Dark - The New Nightmare (Italy) (Disc 1)
p1	Alone in the Dark - The New Nightmare (Italy) (Disc 2)
papx90001	Ridge Racer (Japan)
papx90005	Beyond the Beyond (Japan) (Tentou-you Special CD-ROM)
papx90007	Rap-la-MuuMuu from Jumping Flash! 2 (Japan)
papx90010	Crash Bandicoot (Japan) (Otameshi Disc)
papx90016	Arc the Lad - Monster Game (Japan) (Present-ban)
papx90020	Koukaku Kidoutai - Ghost in the Shell (Japan) (Demo 2)
papx90022	Yoi Ko to Yoi Otona no. PlayStation Taikenban Vol. 1 (Japan)
papx90023	Yoi Ko to Yoi Otona no. PlayStation Taikenban Vol. 2 (Japan)
papx90026	Gran Turismo (Japan) (Taikenban)
papx90028	Bust-A-Groove (Europe) (En,Fr,De,Es,It) (Beta)
papx90032	XI [sai] (Japan) (En,Ja) (Demo 1)
papx90033	Yarudora Series Vol. 1 - Double Cast (Japan) (Demo 1)
papx90034	Spring Special (Japan)
papx90035	Yarudora Series Vol. 1 - Double Cast (Japan) (Demo 2)
papx90037	XI [sai] (Japan) (Demo 2)
papx90039	XI [sai] (Japan) (En,Ja) (Demo 1)
papx90040	Play-Pre Vol. 14 (Japan) (Disc 2) (Legaia Densetsu Trial Version)
papx900401	Play-Pre Vol. 14 (Japan) (Disc 2) (Legaia Densetsu Trial Version)
papx90045	Kurashi Iki! Iki! PlayStation Welcome Disc (Japan)
papx90051	Neon Genesis Evangelion - Original Screen Saver (Japan)
papx90052	Lalala PlayStation Trial Disc - 1998 Summer (Japan)
papx90055	Legaia Densetsu (Japan) (Demo 2)
papx90056	PoPoRoGue (Japan) (Yokokuban)
